Date,Open,High,Low,Close,Volume
2017-07-20,3.4518,3.4518,3.4518,3.4518,0
2017-07-21,3.4518,3.4518,3.4518,3.4518,0
2017-07-24,3.4518,3.4518,3.4518,3.4518,0
2017-07-25,3.4518,3.4518,3.4518,3.4518,0
2017-07-26,3.4518,3.4518,3.4518,3.4518,0
2017-07-27,3.4518,3.4518,3.4518,3.4518,0
2017-07-28,3.4518,3.4518,3.4518,3.4518,0
2017-07-31,3.4518,3.4518,3.4518,3.4518,0
2017-08-01,3.4518,3.4518,3.4518,3.4518,0
2017-08-02,3.4518,3.4518,3.4518,3.4518,0
2017-08-03,3.4518,3.4518,3.4518,3.4518,0
2017-08-04,3.4518,3.4518,3.4518,3.4518,0
2017-08-07,3.4518,3.4518,3.4518,3.4518,0
2017-08-08,3.4518,3.4518,3.4518,3.4518,0
2017-08-09,3.4518,3.4518,3.4518,3.4518,0
2017-08-10,3.4518,3.4518,3.4518,3.4518,0
2017-08-11,3.4518,3.4518,3.4518,3.4518,0
2017-08-14,3.4518,3.4518,3.4518,3.4518,0
2017-08-15,3.4518,3.4518,3.4518,3.4518,0
2017-08-16,3.4518,3.4518,3.4518,3.4518,0
2017-08-17,3.4518,3.4518,3.4518,3.4518,0
2017-08-18,3.4518,3.4518,3.4518,3.4518,0
2017-08-21,3.4518,3.4518,3.4518,3.4518,0
2017-08-22,3.4518,3.4518,3.4518,3.4518,0
2017-08-23,3.4518,3.4518,3.4518,3.4518,0
2017-08-24,3.4518,3.4518,3.4518,3.4518,0
2017-08-25,3.4518,3.4518,3.4518,3.4518,0
2017-08-28,3.4518,3.4518,3.4518,3.4518,0
2017-08-29,3.4518,3.4518,3.4518,3.4518,0
2017-08-30,3.4518,3.4518,3.4518,3.4518,0
2017-08-31,3.4518,3.4518,3.4518,3.4518,0
2017-09-01,3.4518,3.4518,3.4518,3.4518,0
2017-09-05,3.4518,3.4518,3.4518,3.4518,0
2017-09-06,3.4518,3.4518,3.4518,3.4518,0
2017-09-07,3.4518,3.4518,3.4518,3.4518,0
2017-09-08,3.4518,3.4518,3.4518,3.4518,0
2017-09-11,3.4518,3.4518,3.4518,3.4518,0
2017-09-12,3.4518,3.4518,3.4518,3.4518,0
2017-09-13,3.4518,3.4518,3.4518,3.4518,0
2017-09-14,3.4518,3.4518,3.4518,3.4518,0
2017-09-15,3.4518,3.4518,3.4518,3.4518,0
2017-09-18,3.4518,3.4518,3.4518,3.4518,0
2017-09-19,4.8144,4.8144,4.8144,4.8144,100
2017-09-20,4.8144,4.8144,4.8144,4.8144,0
2017-09-21,4.8144,4.8144,4.8144,4.8144,0
2017-09-22,4.8144,4.8144,4.8144,4.8144,0
2017-09-25,4.8144,4.8144,4.8144,4.8144,0
2017-09-26,4.8144,4.8144,4.8144,4.8144,0
2017-09-27,4.8144,4.8144,4.8144,4.8144,0
2017-09-28,4.8144,4.8144,4.8144,4.8144,0
2017-09-29,4.8144,4.8144,4.8144,4.8144,0
2017-10-02,4.8144,4.8144,4.8144,4.8144,0
2017-10-03,4.8144,4.8144,4.8144,4.8144,0
2017-10-04,4.8144,4.8144,4.8144,4.8144,0
2017-10-05,4.8144,4.8144,4.8144,4.8144,0
2017-10-06,4.8144,4.8144,4.8144,4.8144,0
2017-10-09,4.8144,4.8144,4.8144,4.8144,0
2017-10-10,4.8144,4.8144,4.8144,4.8144,0
2017-10-11,4.8144,4.8144,4.8144,4.8144,0
2017-10-12,4.8144,4.8144,4.8144,4.8144,0
2017-10-13,4.8144,4.8144,4.8144,4.8144,0
2017-10-16,4.8144,4.8144,4.8144,4.8144,0
2017-10-17,4.8144,4.8144,4.8144,4.8144,0
2017-10-18,4.8144,4.8144,4.8144,4.8144,0
2017-10-19,4.8144,4.8144,4.8144,4.8144,0
2017-10-20,5.4503,5.4503,5.4503,5.4503,100
2017-10-23,5.4503,5.4503,5.4503,5.4503,0
2017-10-24,5.4503,5.4503,5.4503,5.4503,0
2017-10-25,5.4503,5.4503,5.4503,5.4503,0
2017-10-26,5.4503,5.4503,5.4503,5.4503,0
2017-10-27,5.4503,5.4503,5.4503,5.4503,0
2017-10-30,5.4503,5.4503,5.4503,5.4503,0
2017-10-31,5.4503,5.4503,5.4503,5.4503,0
2017-11-01,5.4503,5.4503,5.4503,5.4503,0
2017-11-02,5.4503,5.4503,5.4503,5.4503,0
2017-11-03,5.4503,5.4503,5.4503,5.4503,0
2017-11-06,5.4503,5.4503,5.4503,5.4503,0
2017-11-07,5.4503,5.4503,5.4503,5.4503,0
2017-11-08,5.4503,5.4503,5.4503,5.4503,0
2017-11-09,5.4503,5.4503,5.4503,5.4503,0
2017-11-10,5.4503,5.4503,5.4503,5.4503,0
2017-11-13,5.4503,5.4503,5.4503,5.4503,0
2017-11-14,5.4503,5.4503,5.4503,5.4503,0
2017-11-15,5.4503,5.4503,5.4503,5.4503,0
2017-11-16,5.4503,5.4503,5.4503,5.4503,0
2017-11-17,5.4503,5.4503,5.4503,5.4503,0
2017-11-20,5.4503,5.4503,5.4503,5.4503,0
2017-11-21,5.4503,5.4503,5.4503,5.4503,0
2017-11-22,5.4503,5.4503,5.4503,5.4503,0
2017-11-23,5.4503,5.4503,5.4503,5.4503,0
2017-11-24,5.4503,5.4503,5.4503,5.4503,0
2017-11-27,5.4503,5.4503,5.4503,5.4503,0
2017-11-28,5.4503,5.4503,5.4503,5.4503,0
2017-11-29,5.4503,5.4503,5.4503,5.4503,0
2017-11-30,5.4503,5.4503,5.4503,5.4503,0
2017-12-01,5.4503,5.4503,5.4503,5.4503,0
2017-12-04,5.4503,5.4503,5.4503,5.4503,0
2017-12-05,5.4503,5.4503,5.4503,5.4503,100
2017-12-06,5.4503,5.4503,5.4503,5.4503,0
2017-12-07,5.4503,5.4503,5.4503,5.4503,0
2017-12-08,5.4503,5.4503,5.4503,5.4503,0
2017-12-11,5.4503,5.4503,5.4503,5.4503,0
2017-12-12,5.4503,5.4503,5.4503,5.4503,0
2017-12-13,5.4503,5.4503,5.4503,5.4503,0
2017-12-14,5.4503,5.4503,5.4503,5.4503,0
2017-12-15,5.4503,5.4503,5.4503,5.4503,0
2017-12-18,5.4503,5.4503,5.4503,5.4503,0
2017-12-19,5.4503,5.4503,5.4503,5.4503,0
2017-12-20,5.4503,5.4503,5.4503,5.4503,0
2017-12-21,5.4503,5.4503,5.4503,5.4503,0
2017-12-22,5.4503,5.4503,5.4503,5.4503,0
2017-12-25,5.4503,5.4503,5.4503,5.4503,0
2017-12-26,5.4503,5.4503,5.4503,5.4503,0
2017-12-27,5.4503,5.4503,5.4503,5.4503,0
2017-12-28,5.4503,5.4503,5.4503,5.4503,0
2017-12-29,5.4503,5.4503,5.4503,5.4503,0
2018-01-02,5.4503,5.4503,5.4503,5.4503,0
2018-01-03,5.4503,5.4503,5.4503,5.4503,0
2018-01-04,5.4503,5.4503,5.4503,5.4503,0
2018-01-05,5.4503,5.4503,5.4503,5.4503,0
2018-01-08,5.4503,5.4503,5.4503,5.4503,0
2018-01-09,5.4503,5.4503,5.4503,5.4503,0
2018-01-10,5.4503,5.4503,5.4503,5.4503,0
2018-01-11,5.4503,5.4503,5.4503,5.4503,0
2018-01-12,5.4503,5.4503,5.4503,5.4503,0
2018-01-15,5.4503,5.4503,5.4503,5.4503,0
2018-01-16,5.4503,5.4503,5.4503,5.4503,0
2018-01-17,5.4503,5.4503,5.4503,5.4503,0
2018-01-18,5.4503,5.4503,5.4503,5.4503,0
2018-01-19,5.4503,5.4503,5.4503,5.4503,0
2018-01-22,5.4503,5.4503,5.4503,5.4503,0
2018-01-23,5.4503,5.4503,5.4503,5.4503,0
2018-01-24,5.4503,5.4503,5.4503,5.4503,0
2018-01-25,5.4503,5.4503,5.4503,5.4503,0
2018-01-26,5.4503,5.4503,5.4503,5.4503,0
2018-01-29,5.4503,5.4503,5.4503,5.4503,0
2018-01-30,5.4503,5.4503,5.4503,5.4503,0
2018-01-31,5.4503,5.4503,5.4503,5.4503,0
2018-02-01,5.4503,5.4503,5.4503,5.4503,0
2018-02-02,5.4503,5.4503,5.4503,5.4503,0
2018-02-05,5.4503,5.4503,5.4503,5.4503,0
2018-02-06,5.4503,5.4503,5.4503,5.4503,0
2018-02-07,5.4503,5.4503,5.4503,5.4503,0
2018-02-08,5.4503,5.4503,5.4503,5.4503,0
2018-02-09,5.4503,5.4503,5.4503,5.4503,0
2018-02-12,5.4503,5.4503,5.4503,5.4503,0
2018-02-13,5.4503,5.4503,5.4503,5.4503,0
2018-02-21,5.4503,5.4503,5.4503,5.4503,0
2018-02-22,5.4503,5.4503,5.4503,5.4503,0
2018-02-23,5.4503,5.4503,5.4503,5.4503,0
2018-02-26,5.4503,5.4503,5.4503,5.4503,0
2018-02-27,6.3587,6.3587,6.3586,6.3586,100
2018-02-28,6.3586,6.3586,6.3586,6.3586,0
2018-03-01,6.3586,6.3586,6.3586,6.3586,0
2018-03-02,6.3586,6.3586,6.3586,6.3586,0
2018-03-05,6.3586,6.3586,6.3586,6.3586,0
2018-03-06,6.3586,6.3586,6.3586,6.3586,0
2018-03-07,6.3586,6.3586,6.3586,6.3586,0
2018-03-08,6.3586,6.3586,6.3586,6.3586,0
2018-03-09,6.3586,6.3586,6.3586,6.3586,0
2018-03-12,6.3586,6.3586,6.3586,6.3586,0
2018-03-13,5.4502,5.4503,5.4502,5.4503,100
2018-03-14,5.4503,5.4503,5.4503,5.4503,0
2018-03-15,5.4503,5.4503,5.4503,5.4503,0
2018-03-16,5.4503,5.4503,5.4503,5.4503,0
2018-03-19,5.4503,5.4503,5.4503,5.4503,0
2018-03-20,5.4503,5.4503,5.4503,5.4503,0
2018-03-21,5.4503,5.4503,5.4503,5.4503,0
2018-03-22,5.4503,5.4503,5.4503,5.4503,0
2018-03-23,5.4503,5.4503,5.4503,5.4503,0
2018-03-26,5.4503,5.4503,5.4503,5.4503,0
2018-03-27,5.4503,5.4503,5.4503,5.4503,0
2018-03-28,5.4503,5.4503,5.4503,5.4503,0
2018-03-29,5.4503,5.4503,5.4503,5.4503,0
2018-03-30,5.4503,5.4503,5.4503,5.4503,0
2018-04-02,5.4503,5.4503,5.4503,5.4503,0
2018-04-03,5.4503,5.4503,5.4503,5.4503,0
2018-04-04,5.4503,5.4503,5.4503,5.4503,0
2018-04-05,5.4503,5.4503,5.4503,5.4503,0
2018-04-06,5.4503,5.4503,5.4503,5.4503,0
2018-04-09,5.4503,5.4503,5.4503,5.4503,0
2018-04-10,5.4503,5.4503,5.4503,5.4503,0
2018-04-11,5.4503,5.4503,5.4503,5.4503,0
2018-04-12,5.4503,5.4503,5.4503,5.4503,0
2018-04-13,5.4503,5.4503,5.4503,5.4503,0
2018-04-16,5.4503,5.4503,5.4503,5.4503,0
2018-04-17,5.4503,5.4503,5.4503,5.4503,0
2018-04-18,5.4503,5.4503,5.4503,5.4503,0
2018-04-19,5.4503,5.4503,5.4503,5.4503,0
2018-04-20,5.4503,5.4503,5.4503,5.4503,0
2018-04-23,5.4503,5.4503,5.4503,5.4503,0
2018-04-24,5.4503,5.4503,5.4503,5.4503,0
2018-04-26,5.4503,5.4503,5.4503,5.4503,0
2018-04-27,5.4503,5.4503,5.4503,5.4503,0
2018-05-02,5.4503,5.4503,5.4503,5.4503,0
2018-05-03,5.4503,5.4503,5.4503,5.4503,0
2018-05-04,5.4503,5.4503,5.4503,5.4503,0
2018-05-07,5.4503,5.4503,5.4503,5.4503,0
2018-05-08,5.4503,5.4503,5.4503,5.4503,0
2018-05-09,5.4503,5.4503,5.4501,5.4501,0
2018-05-10,5.4501,5.4501,5.4501,5.4501,0
2018-05-11,5.4501,5.4501,5.4501,5.4501,0
2018-05-14,5.4501,5.4501,5.4501,5.4501,0
2018-05-15,5.4501,5.4501,5.4501,5.4501,0
2018-05-16,5.4501,5.4501,5.4501,5.4501,0
2018-05-17,5.4501,5.4501,5.4501,5.4501,0
2018-05-18,5.4501,5.4501,5.4501,5.4501,0
2018-05-21,5.4501,5.4501,5.4501,5.4501,0
2018-05-22,5.4501,5.4501,5.4501,5.4501,0
2018-05-23,5.4501,5.4501,5.4501,5.4501,0
2018-05-24,5.4501,5.4501,5.4501,5.4501,0
2018-05-25,5.4501,5.4501,5.4501,5.4501,0
2018-05-28,5.4501,5.4501,5.4501,5.4501,0
2018-05-29,5.4501,5.4501,5.4501,5.4501,0
2018-05-30,5.4501,5.4501,5.4501,5.4501,0
2018-05-31,5.4501,5.4501,5.4501,5.4501,0
2018-06-01,5.4501,5.4501,5.4501,5.4501,0
2018-06-04,5.4501,5.4501,5.4501,5.4501,0
2018-06-05,5.4501,5.4501,5.4501,5.4501,0
2018-06-06,5.4501,5.4501,5.4501,5.4501,0
2018-06-07,5.4501,5.4501,5.4501,5.4501,0
2018-06-08,5.4501,5.4501,5.4501,5.4501,0
2018-06-11,5.4501,5.4501,5.4501,5.4501,0
2018-06-12,5.4501,5.4501,5.4501,5.4501,0
2018-06-13,5.4501,5.4501,5.4501,5.4501,0
2018-06-14,5.4501,5.4501,5.4501,5.4501,0
2018-06-15,5.4501,5.4501,5.4501,5.4501,0
2018-06-18,5.4501,5.4501,5.4501,5.4501,0
2018-06-19,5.4501,5.4501,5.4501,5.4501,0
2018-06-20,5.4501,5.4501,5.4501,5.4501,0
2018-06-21,5.4501,5.4501,5.4501,5.4501,0
2018-06-22,5.4501,5.4501,5.4501,5.4501,0
2018-06-25,5.4501,5.4501,5.4501,5.4501,0
2018-06-26,5.4501,5.4501,5.4501,5.4501,0
2018-06-27,5.4501,5.4501,5.4501,5.4501,0
2018-06-28,5.4501,5.4501,5.4501,5.4501,0
2018-06-29,5.4501,5.4501,5.4501,5.4501,0
2018-07-02,5.4501,5.4501,5.4501,5.4501,0
2018-07-03,5.4501,5.4501,5.4501,5.4501,0
2018-07-04,5.4501,5.4501,5.4501,5.4501,0
2018-07-05,5.4501,5.4501,5.4501,5.4501,0
2018-07-06,5.4501,5.4501,5.4501,5.4501,0
2018-07-09,5.4501,5.4501,5.4501,5.4501,0
2018-07-10,5.4501,5.4501,5.4501,5.4501,0
2018-07-11,5.4501,5.4501,5.4501,5.4501,0
2018-07-12,5.4501,5.4501,5.4501,5.4501,0
2018-07-13,5.4501,5.4501,5.4501,5.4501,0
2018-07-16,5.4501,5.4501,5.4501,5.4501,0
2018-07-17,5.4501,5.4501,5.4501,5.4501,0
2018-07-18,5.4501,5.4501,5.4501,5.4501,0
2018-07-19,5.4501,5.4501,5.4501,5.4501,0
2018-07-20,5.4501,5.4501,5.4501,5.4501,0
2018-07-23,5.4501,5.4501,5.4501,5.4501,0
2018-07-24,5.4501,5.4501,5.4501,5.4501,0
2018-07-25,5.4501,5.4501,5.4501,5.4501,0
2018-07-26,5.4501,5.4501,5.4501,5.4501,0
2018-07-27,5.4501,5.4501,5.4501,5.4501,0
2018-07-30,5.4501,5.4501,5.4501,5.4501,0
2018-07-31,5.4501,5.4501,5.4501,5.4501,0
2018-08-01,5.4501,5.4501,5.4501,5.4501,0
2018-08-02,5.4501,5.4501,5.4501,5.4501,0
2018-08-03,5.4501,5.4501,5.4501,5.4501,0
2018-08-06,5.4501,5.4501,5.4501,5.4501,0
2018-08-07,5.4501,5.4501,5.4501,5.4501,0
2018-08-08,5.4501,5.4501,5.4501,5.4501,0
2018-08-09,5.4501,5.4501,5.4501,5.4501,0
2018-08-10,5.4501,5.4501,5.4501,5.4501,0
2018-08-13,5.4501,5.4501,5.4501,5.4501,0
2018-08-14,5.4501,5.4501,5.4501,5.4501,0
2018-08-15,5.4501,5.4501,5.4501,5.4501,0
2018-08-16,5.4501,5.4501,5.4501,5.4501,0
2018-08-17,5.4501,5.4501,5.4501,5.4501,0
2018-08-20,5.4501,5.4501,5.4501,5.4501,0
2018-08-21,5.4501,5.4501,5.4501,5.4501,0
2018-08-22,5.4501,5.4501,5.4501,5.4501,0
2018-08-23,5.4501,5.4501,5.4501,5.4501,0
2018-08-24,5.4501,5.4501,5.4501,5.4501,0
2018-08-27,5.4501,5.4501,5.4501,5.4501,0
2018-08-28,5.4501,5.4501,5.4501,5.4501,0
2018-08-29,5.4501,5.4501,5.4501,5.4501,0
2018-08-30,5.4501,5.4501,5.4501,5.4501,0
2018-08-31,5.4501,5.4501,5.4501,5.4501,0
2018-09-04,5.4501,5.4501,5.4501,5.4501,0
2018-09-05,5.4501,5.4501,5.4501,5.4501,0
2018-09-06,5.4501,5.4501,5.4501,5.4501,0
2018-09-07,5.4501,5.4501,5.4501,5.4501,0
2018-09-10,5.4501,5.4501,5.4501,5.4501,0
2018-09-11,5.4501,5.4501,5.4501,5.4501,0
2018-09-12,5.4501,5.4501,5.4501,5.4501,0
2018-09-13,5.4501,5.4501,5.4501,5.4501,0
2018-09-14,5.4501,5.4501,5.4501,5.4501,0
2018-09-17,5.4501,5.4501,5.4501,5.4501,0
2018-09-18,5.4501,5.4501,5.4501,5.4501,0
2018-09-19,5.4501,5.4501,5.4501,5.4501,0
2018-09-20,5.4501,5.4501,5.4501,5.4501,0
2018-09-21,5.4501,5.4501,5.4501,5.4501,0
2018-09-24,5.4501,5.4501,5.4501,5.4501,0
2018-09-25,5.4501,5.4501,5.4501,5.4501,0
2018-09-26,5.4501,5.4501,5.4501,5.4501,0
2018-09-27,5.4501,5.4501,5.4501,5.4501,0
2018-09-28,5.4501,5.4501,5.4501,5.4501,0
2018-10-01,5.4501,5.4501,5.4501,5.4501,0
2018-10-02,5.4501,5.4501,5.4501,5.4501,0
2018-10-03,5.4501,5.4501,5.4501,5.4501,0
2018-10-04,5.4501,5.4501,5.4501,5.4501,0
2018-10-05,5.4501,5.4501,5.4501,5.4501,0
2018-10-08,5.4501,5.4501,5.4501,5.4501,0
2018-10-09,5.4501,5.4501,5.4501,5.4501,0
2018-10-10,5.4501,5.4501,5.4501,5.4501,0
2018-10-11,5.4501,5.4501,5.4501,5.4501,0
2018-10-12,5.4501,5.4501,5.4501,5.4501,0
2018-10-15,5.4501,5.4501,5.4501,5.4501,0
2018-10-16,5.4501,5.4501,5.4501,5.4501,0
2018-10-17,5.4501,5.4501,5.4501,5.4501,0
2018-10-18,5.4501,5.4501,5.4501,5.4501,0
2018-10-19,5.4501,5.4501,5.4501,5.4501,0
2018-10-22,5.4501,5.4501,5.4501,5.4501,0
2018-10-23,5.4501,5.4501,5.4501,5.4501,0
2018-10-24,5.4501,5.4501,5.4501,5.4501,0
2018-10-25,5.4501,5.4501,5.4501,5.4501,0
2018-10-26,5.4501,5.4501,5.4501,5.4501,0
2018-10-29,5.4501,5.4501,5.4501,5.4501,0
2018-10-30,5.4501,5.4501,5.4501,5.4501,0
2018-10-31,5.4501,5.4501,5.4501,5.4501,0
2018-11-01,5.4501,5.4501,5.4501,5.4501,0
2018-11-02,5.4501,5.4501,5.4501,5.4501,0
2018-11-05,5.4501,5.4501,5.4501,5.4501,0
2018-11-06,5.4501,5.4501,5.4501,5.4501,0
2018-11-07,5.4501,5.4501,5.4501,5.4501,0
2018-11-08,5.4501,5.4501,5.4501,5.4501,0
2018-11-09,5.4501,5.4501,5.4501,5.4501,0
2018-11-12,5.4501,5.4501,5.4501,5.4501,0
2018-11-13,5.4501,5.4501,5.4501,5.4501,0
2018-11-14,5.4501,5.4501,5.4501,5.4501,0
2018-11-15,5.4501,5.4501,5.4501,5.4501,0
2018-11-16,5.4501,5.4501,5.4501,5.4501,0
2018-11-19,5.4501,5.4501,5.4501,5.4501,0
2018-11-20,5.4501,5.4501,5.4501,5.4501,0
2018-11-21,5.4501,5.4501,5.4501,5.4501,0
2018-11-22,5.4501,5.4501,5.4501,5.4501,0
2018-11-23,5.4501,5.4501,5.4501,5.4501,0
2018-11-26,5.4501,5.4501,5.4501,5.4501,0
2018-11-27,5.4501,5.4501,5.4501,5.4501,0
2018-11-28,5.4501,5.4501,5.4501,5.4501,0
2018-11-29,5.4501,5.4501,5.4501,5.4501,0
2018-11-30,5.4501,5.4501,5.4501,5.4501,0
2018-12-03,5.4501,5.4501,5.4501,5.4501,0
2018-12-04,5.4501,5.4501,5.4501,5.4501,0
2018-12-05,5.4501,5.4501,5.4501,5.4501,0
2018-12-06,5.4501,5.4501,5.4501,5.4501,0
2018-12-07,5.4501,5.4501,5.4501,5.4501,0
2018-12-10,5.4501,5.4501,5.4501,5.4501,0
2018-12-11,5.4501,5.4501,5.4501,5.4501,0
2018-12-12,5.4501,5.4501,5.4501,5.4501,0
2018-12-13,5.4501,5.4501,5.4501,5.4501,0
2018-12-14,5.4501,5.4501,5.4501,5.4501,0
2018-12-17,5.4501,5.4501,5.4501,5.4501,0
2018-12-18,5.4501,5.4501,5.4501,5.4501,0
2018-12-19,5.4501,5.4501,5.4501,5.4501,0
2018-12-20,5.4501,5.4501,5.4501,5.4501,0
2018-12-21,5.4501,5.4501,5.4501,5.4501,0
2018-12-24,5.4501,5.4501,5.4501,5.4501,0
2018-12-25,5.4501,5.4501,5.4501,5.4501,0
2018-12-26,5.4501,5.4501,5.4501,5.4501,0
2018-12-27,5.4501,5.4501,5.4501,5.4501,0
2018-12-28,5.4501,5.4501,5.4501,5.4501,0
2019-01-02,5.4501,5.4501,5.4501,5.4501,0
2019-01-03,5.4501,5.4501,5.4501,5.4501,0
2019-01-04,5.4501,5.4501,5.4501,5.4501,0
2019-01-07,5.4501,5.4501,5.4501,5.4501,0
2019-01-08,5.4501,5.4501,5.4501,5.4501,0
2019-01-09,5.4501,5.4501,5.4501,5.4501,0
2019-01-10,5.4501,5.4501,5.4501,5.4501,0
2019-01-11,5.4501,5.4501,5.4501,5.4501,0
2019-01-14,5.4501,5.4501,5.4501,5.4501,0
2019-01-15,5.4501,5.4501,5.4501,5.4501,0
2019-01-16,5.4501,5.4501,5.4501,5.4501,0
2019-01-17,5.4501,5.4501,5.4501,5.4501,0
2019-01-18,5.4501,5.4501,5.4501,5.4501,0
2019-01-21,5.4501,5.4501,5.4501,5.4501,0
2019-01-22,5.4501,5.4501,5.4501,5.4501,0
2019-01-23,5.4501,5.4501,5.4501,5.4501,0
2019-01-24,5.4501,5.4501,5.4501,5.4501,0
2019-01-25,5.4501,5.4501,5.4501,5.4501,0
2019-01-28,5.4501,5.4501,5.4501,5.4501,0
2019-01-29,5.4501,5.4501,5.4501,5.4501,0
2019-01-30,5.4501,5.4501,5.4501,5.4501,0
2019-01-31,5.4501,5.4501,5.4501,5.4501,0
2019-02-01,5.4501,5.4501,5.4501,5.4501,0
2019-02-11,5.4501,5.4501,5.4501,5.4501,0
2019-02-12,5.4501,5.4501,5.4501,5.4501,0
2019-02-13,5.4501,5.4501,5.4501,5.4501,0
2019-02-14,5.4501,5.4501,5.4501,5.4501,0
2019-02-15,5.4501,5.4501,5.4501,5.4501,0
2019-02-18,5.4501,5.4501,5.4501,5.4501,0
2019-02-19,5.4501,5.4501,5.4501,5.4501,0
2019-02-20,5.4501,5.4501,5.4501,5.4501,0
2019-02-21,5.4501,5.4501,5.4501,5.4501,0
2019-02-22,5.4501,5.4501,5.4501,5.4501,0
2019-02-25,5.4501,5.4501,5.4501,5.4501,0
2019-02-26,5.4501,5.4501,5.4501,5.4501,0
2019-02-27,5.4501,5.4501,5.4501,5.4501,0
2019-02-28,5.4501,5.4501,5.4501,5.4501,0
2019-03-01,5.4501,5.4501,5.4501,5.4501,0
2019-03-04,5.4501,5.4501,5.4501,5.4501,0
2019-03-05,5.4501,5.4501,5.4501,5.4501,0
2019-03-06,5.4501,5.4501,5.4501,5.4501,0
2019-03-07,5.4501,5.4501,5.4501,5.4501,0
2019-03-08,5.4501,5.4501,5.4501,5.4501,0
2019-03-11,5.4501,5.4501,5.4501,5.4501,0
2019-03-12,5.4501,5.4501,5.4501,5.4501,0
2019-03-13,5.4501,5.4501,5.4501,5.4501,0
2019-03-14,5.4501,5.4501,5.4501,5.4501,0
2019-03-15,5.4501,5.4501,5.4501,5.4501,0
2019-03-18,5.4501,5.4501,5.4501,5.4501,0
2019-03-19,5.4501,5.4501,5.4501,5.4501,0
2019-03-20,5.4501,5.4501,5.4501,5.4501,0
2019-03-21,5.4501,5.4501,5.4501,5.4501,0
2019-03-22,5.4501,5.4501,5.4501,5.4501,0
2019-03-25,5.4501,5.4501,5.4501,5.4501,0
2019-03-26,5.4501,5.4501,5.4501,5.4501,0
2019-03-27,5.4501,5.4501,5.4501,5.4501,0
2019-03-28,5.4501,5.4501,5.4501,5.4501,0
2019-03-29,5.4501,5.4501,5.4501,5.4501,0
2019-04-01,5.4501,5.4501,5.4501,5.4501,0
2019-04-02,5.4501,5.4501,5.4501,5.4501,0
2019-04-03,5.4501,5.4501,5.4501,5.4501,0
2019-04-04,5.4501,5.4501,5.4501,5.4501,0
2019-04-05,5.4501,5.4501,5.4501,5.4501,0
2019-04-08,5.4501,5.4501,5.4501,5.4501,0
2019-04-09,5.4501,5.4501,5.4501,5.4501,0
2019-04-10,5.4501,5.4501,5.4501,5.4501,0
2019-04-11,5.4501,5.4501,5.4501,5.4501,0
2019-04-12,5.4501,5.4501,5.4501,5.4501,0
2019-04-16,5.4501,5.4501,5.4501,5.4501,0
2019-04-17,5.4501,5.4501,5.4501,5.4501,0
2019-04-18,5.4501,5.4501,5.4501,5.4501,0
2019-04-19,5.4501,5.4501,5.4501,5.4501,0
2019-04-22,5.4501,5.4501,5.4501,5.4501,0
2019-04-23,5.4501,5.4501,5.4501,5.4501,0
2019-04-24,5.4501,5.4501,5.4501,5.4501,0
2019-04-25,5.4501,5.4501,5.4501,5.4501,0
2019-04-26,5.4501,5.4501,5.4501,5.4501,0
2019-05-02,5.4501,5.4501,5.4501,5.4501,0
2019-05-03,5.4501,5.4501,5.4501,5.4501,0
2019-05-06,5.4501,5.4501,5.4501,5.4501,0
2019-05-07,5.4501,5.4501,5.4501,5.4501,0
2019-05-08,5.4501,5.4501,5.4501,5.4501,0
2019-05-09,5.4501,5.4501,5.4501,5.4501,0
2019-05-10,5.4501,5.4501,5.4501,5.4501,0
2019-05-13,5.4501,5.4501,5.4501,5.4501,0
2019-05-14,5.4501,5.4501,5.4501,5.4501,0
2019-05-15,5.4501,5.4501,5.4501,5.4501,0
2019-05-16,5.4501,5.4501,5.4501,5.4501,0
2019-05-17,5.4501,5.4501,5.4501,5.4501,0
2019-05-20,5.4501,5.4501,5.4501,5.4501,0
2019-05-21,5.5,5.5,5.5,5.5,0
2019-05-22,5.5,5.5,5.5,5.5,0
2019-05-23,5.5,5.5,5.5,5.5,0
2019-05-24,5.5,5.5,5.5,5.5,0
2019-05-27,5.5,5.5,5.5,5.5,0
2019-05-28,5.5,5.5,5.5,5.5,0
2019-05-29,5.5,5.5,5.5,5.5,0
2019-05-30,5.5,5.5,5.5,5.5,0
2019-05-31,5.5,5.5,5.5,5.5,0
2019-06-03,5.5,5.5,5.5,5.5,0
2019-06-04,5.5,5.5,5.5,5.5,0
2019-06-05,5.5,5.5,5.5,5.5,0
2019-06-06,5.5,5.5,5.5,5.5,0
2019-06-07,5.5,5.5,5.5,5.5,0
2019-06-10,5.5,5.5,5.5,5.5,0
2019-06-11,5.5,5.5,5.5,5.5,0
2019-06-12,5.5,5.5,5.5,5.5,0
2019-06-13,5.5,5.5,5.5,5.5,0
2019-06-14,5.5,5.5,5.5,5.5,0
2019-06-17,5.5,5.5,5.5,5.5,0
2019-06-18,5.5,5.5,5.5,5.5,0
2019-06-19,5.5,5.5,5.5,5.5,0
2019-06-20,5.5,5.5,5.5,5.5,0
2019-06-21,5.5,5.5,5.5,5.5,0
2019-06-24,5.5,5.5,5.5,5.5,0
2019-06-25,5.5,5.5,5.5,5.5,0
2019-06-26,5.5,5.5,5.5,5.5,0
2019-06-27,5.5,5.5,5.5,5.5,0
2019-06-28,5.5,5.5,5.5,5.5,0
2019-07-01,5.5,5.5,5.5,5.5,0
